timestamp,ICAO,CIAD,Aeródromo,Cidade,UF,Status,NOTAM,Debug
2019-04-18T04:09:32.144320-03:00,SJAK,MT0163,Aerobako,SINOP,MT,OK,"['Revogado INFOTEMP 0917/2018 \n COMPULSORIO CTC COM A RDO SINOP PARA ACFT OPR NA FIZ SINOP \n Duração:  04/10/18 00:00 a 31/12/19 23:59 UTC  | Divulgação: 01/10/2018 14:15', 'Revogado INFOTEMP 0897/2018 \n ACFT EM OPS DE POUSO E DECOLAGEM DEVERAO EFETUAR CTC COM A RDO SINOP NA FREQ 130.175MHZ \n Duração:  27/09/18 18:24 a 31/12/19 23:59 UTC  | Divulgação: 27/09/2018 20:19']",{'response_status_code': 200}
2019-04-18T04:09:36.736324-03:00,SJKA,MT0189,Aerocampo,CAMPO NOVO DO PARECIS,MT,OK,[],{'response_status_code': 200}
2019-04-18T04:09:40.936283-03:00,SJAV,GO0067,Aerocéu Aviação Agrícola,CHAPADÃO DO CÉU,GO,OK,[],{'response_status_code': 200}
2019-04-18T04:09:45.054320-03:00,SNVR,BA0147,Aeroclube da Bahia,VERA CRUZ,BA,OK,['B0193/19  R  B1831/18  13/02/2019 12:28 \n PJE SOB VMC SUBJ COOR ACC-RECIFE/AUTH APP-SALVADOR ACONTECERA CENTRO COORD 130117S/0384052W RAIO 05KM SFC/FL035 RTO FL035/FL150 COOR \n \n  SFC \n  FL150 \n  13/02/19 12:30 a 12/05/19 21:00 UTC \n  FEB 13 1230-2100 FEB 14 TIL MAY 12 1100-2100'],{'response_status_code': 200}
2019-04-18T04:09:48.005321-03:00,SNGS,AL0008,Aeroclube de Alagoas,MACEIÓ,AL,OK,[],{'response_status_code': 200}
2019-04-18T04:09:52.603322-03:00,SSHA,MS0282,Aeroclube de Aquidauana,AQUIDAUANA,MS,OK,[],{'response_status_code': 200}
2019-04-18T04:09:57.132322-03:00,SIBK,RS0058,Aeroclube de Bagé,BAGÉ,RS,OK,[],{'response_status_code': 200}
2019-04-18T04:10:01.474319-03:00,SSBG,RS0091,Aeroclube de Bento Gonçalves,BENTO GONÇALVES,RS,OK,[],{'response_status_code': 200}
2019-04-18T04:10:05.515320-03:00,SJWQ,SP0221,Aeroclube de Birigui - CMTE Munir Djabak,BIRIGUI,SP,OK,[],{'response_status_code': 200}
2019-04-18T04:10:09.793322-03:00,SNKB,PB0015,Aeroclube de Campina Grande,CAMPINA GRANDE,PB,OK,[],{'response_status_code': 200}
2019-04-18T04:10:13.838352-03:00,SIXE,RS0072,Aeroclube de Eldorado do Sul,ELDORADO DO SUL,RS,OK,"['Revogado INFOTEMP 1514/2018 \n CIRCUITO DE TFC DEVERA SER REALIZADO PELO SECT NORTE DO AD \n Duração:  30/12/18 00:00 a 30/04/19 23:59 UTC  | Divulgação: 26/12/2018 16:56', 'Revogado INFOTEMP 1513/2018 \n OBST  NEG LGTD:  (ARVORE) COORD 300358S/0512651W ELEV 275FT  (MORROS) COORD 300405S/0512626W ELEV 263FT \n Duração:  30/12/18 00:00 a 30/04/19 23:59 UTC  | Divulgação: 26/12/2018 16:56']",{'response_status_code': 200}
2019-04-18T04:10:17.459321-03:00,SSAF,PR0071,Aeroclube de Foz do Iguaçu,SANTA TEREZINHA DE ITAIPU,PR,OK,[],{'response_status_code': 200}
2019-04-18T04:10:22.455351-03:00,SSOW,RS0098,Aeroclube de Frederico Westphalen,FREDERICO WESTPHALEN,RS,OK,[],{'response_status_code': 200}
2019-04-18T04:10:27.345320-03:00,SDIO,SP0109,Aeroclube de Itápolis,ITÁPOLIS,SP,OK,"['Revogado INFOTEMP 1090/2018 \n AD CLSD DEVIDO NAO APRESENTACAO DO PLANO BASICO DE ZONA DE PROTECAO  \n Duração:  10/12/18 00:00 a 10/12/19 23:59 UTC  | Divulgação: 05/11/2018 15:20', 'F0671/19  R  F0175/19  12/04/2019 14:45 \n ACROBACIA AEREA SUBJ COOR/AUTH APP ACADEMIA/INFO AFIS GAVIAO PEIXOTO ACONTECERA BTN COORD 213536.96S/0485001.50W, 213609.45S/0484958.60W, 213612.29S/0485033.21W, 213539.99S/0485036.26W (ITAPOLIS, SP) RTO COOR SBR 437 \n \n  SFC \n  FL050 \n  12/04/19 14:46 a 08/07/19 20:46 UTC \n  APR 12 1446-2105 APR 13 TIL JUL 08 SR-SS', 'F0659/19  N  11/04/2019 18:37 \n FLT GLD SUBJ COOR/AUTH APP ACADEMIA/INFO AFIS GAVIAO PEIXOTO ACONTECERA COORD 213208.07S0484342.33W, 212826.44S0485900.60W, 213713.00S0490021.22W, 213952.36S0484817.01W,  213541.17S0485107.53W  (ITAPOLIS, SP) DNG COOR SBR 437 \n \n  SFC \n  FL050 \n  30/04/19 09:33 a 27/07/19 20:54 UTC \n  APR 30 TIL JUL 27 SR-SS', 'F0176/19  R  F2223/18  28/01/2019 18:58 \n FLT GLD SUBJ COOR/AUTH APP ACADEMIA/INFO AFIS GAVIAO PEIXOTO  ACONTECERA COORD 213316.23S0485231.10W, 213312.18S0484057.06W, 214400.09S0484056.35W, 214113.80S0485229.07W, 213540.52S0484900.19W  (ITAPOLIS, SP) RTO COOR SBR 437 \n \n  SFC \n  FL050 \n  28/01/19 18:59 a 27/04/19 20:53 UTC \n  JAN 28 1859-2201 JAN 29 TIL APR 27 DLY SR-SS']",{'response_status_code': 200}
2019-04-18T04:10:31.673320-03:00,SILN,SC0028,Rio Negrinho,RIO NEGRINHO,SC,OK,[],{'response_status_code': 200}
2019-04-18T04:10:37.000286-03:00,SSKT,SC0038,Aeroclube de Santa Catarina,SÃO JOSÉ,SC,OK,"['Z2081/18  N  26/11/2018 17:51 \n PROC APCH VFR (VAC SAO JOSE / AEROCLUBE DE SANTA CATARINA) INSERIR FREQ 119.50 129.60 NO QUADRO APP FLORIANOPOLIS  REF: AIP MAP VAC \n \n  26/11/18 17:51 a PERM', 'Z1421/16  N  28/04/2016 19:34 \n AIS VAC RWY 03/21 INSERIR RMK: OBS ACFT PLANADORES E ULTRALEVES EM VOO DE INSTRUCAO PROXIMO AO AD REF: AIP MAP \n \n  28/04/16 19:43 a PERM']",{'response_status_code': 200}
2019-04-18T04:10:42.032321-03:00,SISG,SE0003,Aeroclube de Sergipe ,ARACAJU,SE,OK,[],{'response_status_code': 200}
2019-04-18T04:10:46.648286-03:00,SIPA,SP0192,Aeroclube São José do Rio Pardo,SÃO JOSÉ DO RIO PARDO,SP,OK,[],{'response_status_code': 200}
2019-04-18T04:10:52.762283-03:00,SSYS,SP0266,Aero do Vale Miracatu,MIRACATU,SP,OK,[],{'response_status_code': 200}
2019-04-18T04:10:57.542360-03:00,SWVR,MT0418,Aeródromo do Canarinho,SINOP,MT,OK,"['Revogado INFOTEMP 0919/2018 \n COMPULSORIO CTC COM A RDO SINOP PARA ACFT OPR NA FIZ SINOP \n Duração:  04/10/18 00:00 a 31/12/19 23:59 UTC  | Divulgação: 01/10/2018 14:40', 'Revogado INFOTEMP 0898/2018 \n ACFT EM OPS DE POUSO E DECOLAGEM DEVERAO EFETUAR CTC COM A RDO SINOP NA FREQ 130.175MHZ \n Duração:  27/09/18 18:26 a 31/12/19 23:59 UTC  | Divulgação: 27/09/2018 20:18']",{'response_status_code': 200}
2019-04-18T04:11:02.338359-03:00,SILQ,PR0046, Aeroleve Aeródromo Privado,CASCAVEL,PR,OK,[],{'response_status_code': 200}
