ICAO,CIAD,Aeródromo,Cidade,UF,Alerta,NOTAM,STATUS
SIVN,MG0050,Fazenda Sansara,MONTES CLAROS,MG,,[],OK
SILA,MS0062,Fazenda Santa Ada,JATEÍ,MS,,[],OK
SWAD,GO0039,Fazenda Santa Adelaide,BOM JESUS DE GOIÁS,GO,,[],OK
SIUO,MT0021,Fazenda Santa Adélia,SÃO JOSÉ DO XINGU,MT,,[],OK
SINT,GO0031,Fazenda Santa Adélia,SANTA ISABEL,GO,,[],OK
SSZP,MS0046,Fazenda Santa Adriana,JATEÍ,MS,,[],OK
SDDA,MS0026,Fazenda Santa Alaydes,CORUMBÁ,MS,,[],OK
SWAL,SP0128,Fazenda Santa Albana,ITAPETININGA,SP,,[],OK
SWRW,MT0391,Fazenda Santa Alice,MIRASSOL D'OESTE,MT,,[],OK
SDVX,MT0069,Fazenda Santa Amália,ALTA FLORESTA,MT,,[],OK
SSJG,MS0080,Fazenda Santa Ana,PORTO MURTINHO,MS,,[],OK
SIZN,RO0015,Fazenda Santa Ana,CORUMBIARA,RO,Aeródromo FECHADO até 23/09/19: INFOTEMP 0185/2019,"{'badge_info': 'INFOTEMP 0185/2019', 'titulo': '', 'texto2': 'Duração:'}",OK
SJJG,MS0078,Fazenda Santa Bárbara,CORUMBÁ,MS,,[],OK
SJBF,MG0117,Fazenda Santa Bárbara,MANGA,MG,,[],OK
SJCS,RO0016,Fazenda Santa Carmem,PORTO VELHO,RO,,[],OK
SSTA,MS0333,Fazenda Santa Cecília II,CORUMBÁ,MS,Aeródromo FECHADO até 31/08/19: INFOTEMP 0150/2019,"{'badge_info': 'INFOTEMP 0150/2019', 'titulo': '', 'texto2': 'Duração:'}",OK
SILI,PI0021,Fazenda Santa Clara,BOM JESUS,PI,,[],OK
SDQH,MT0056,Fazenda Santa Clara,CASTANHEIRA,MT,,"{'badge_info': 'Z0265/18', 'titulo': ' R Z0261/18 18/01/2018 18:27', 'texto2': '18/01/18 18:28 a PERM'}",OK
SJZM,MS0198,Fazenda Santa Clara ,RIO VERDE DE MATO GROSSO,MS,,[],OK
SDNL,MS0040,Fazenda Santa Claudina,CAARAPÓ,MS,,[],OK
SIVF,MT0140,Fazenda Santa Cruz,QUERÊNCIA,MT,,[],OK
SWLJ,GO0134,Fazenda Santa Cruz,IACIARA,GO,,[],OK
SWHQ,MT0348,Fazenda Santa Cruz,VILA BELA DA SANTÍSSIMA TRINDADE,MT,,[],OK
SJUC,GO0026,Fazenda Santa Cruz,PADRE BERNARDO,GO,,[],OK
SJWE,MS0187,Fazenda Santa Delfina,MIRANDA,MS,,[],OK
SJRO,SP0214,Fazenda Santa Elisa,AURIFLAMA,SP,,[],OK
SIUU,MT0053,Fazenda Santa Eulália,POCONÉ,MT,,[],OK
SIEN,MS0076,Fazenda Santa Eulina,CORUMBÁ,MS,,[],OK
SICW,GO0001,Fazenda Santa Fé,CAMPO ALEGRE DE GOIÁS,GO,,[],OK
SIIE,MS0085,Fazenda Santa Fé,GUIA LOPES DA LAGUNA,MS,,[],OK
SSTF,PA0037,Fazenda Santa Fé,SANTANA DO ARAGUAIA,PA,,[],OK
SNFN,SP0227,Fazenda Santa Fé,JARDINÓPOLIS,SP,,[],OK
SIDZ,BA0085,Fazenda Santa Fé,TABOCAS DO BREJO VELHO,BA,,[],OK
SSKF,AM0040,Fazenda Santa Fé,IRANDUBA,AM,,[],OK
SIWS,MT0146,Fazenda Santa Fé,CÁCERES,MT,,[],OK
SITU,GO0057,Fazenda Santa Genoveva,TURVELÂNDIA,GO,,[],OK
SSZF,MS0019,Fazenda Santa Gertrudes,CORUMBÁ,MS,,[],OK
SIQO,MS0017,Fazenda Santa Glória,CORUMBÁ,MS,,[],OK
SDZH,SP0167,Fazenda Santa Helena,PINDAMONHANGABA,SP,,[],OK
SJEL,PR0056,Fazenda Santa Helena,CORNÉLIO PROCÓPIO,PR,,[],OK
SNVH,MT0271,Fazenda Santa Helena,CÁCERES,MT,,[],OK
SSGZ,MS0281,Fazenda Santa Helena do Pindó,NAVIRAÍ,MS,,[],OK
SSBT,MS0250,Fazenda Santa Ilídia,BATAYPORÃ,MS,,[],OK
SSRC,MS0326,Fazenda Santa Inês,RIO BRILHANTE,MS,,[],OK
SIUG,SP0195,Fazenda Santa Irene,SANDOVALINA,SP,,[],OK
SIXT,MS0142,Fazenda Santa Isabel,AQUIDAUANA,MS,Aeródromo FECHADO até 25/06/19: INFOTEMP 1519/2018,"{'badge_info': 'INFOTEMP 1519/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SSNU,SP0254,Fazenda Santa Izabel,BROTAS,SP,,[],OK
SDMD,MS0037,Fazenda Santa Izabel,COXIM,MS,,[],OK
SIOS,MS0113,Fazenda Santa Josefa,JATEÍ,MS,,[],OK
SSPC,MT0305,Fazenda Santa Júlia,COCALINHO,MT,,[],OK
SWIB,MT0037,Fazenda Santa Laura,NOVA SANTA HELENA,MT,,[],OK
SIIK,MS0087,Fazenda Santa Lídia,RIBAS DO RIO PARDO,MS,,[],OK
SDAY,PA0032,Fazenda Santa Lucia,SANTA MARIA DAS BARREIRAS,PA,,[],OK
SWHJ,ND,Fazenda Santa Lúcia,BRASILÉIA,AC,,[],OK
SISL,MT0129,Fazenda Santa Lúcia,BARÃO DE MELGAÇO,MT,,[],OK
SDLU,SP0119,Fazenda Santa Luíza,BARRA BONITA,SP,,[],OK
SJNM,MT0195,Fazenda Santa Luzia,NOVA MUTUM,MT,,[],OK
SWSZ,MT0404,Fazenda Santa Luzia,NOVA BANDEIRANTES,MT,,[],OK
SSSL,PR0089,Fazenda Santa Luzia,ALTO PARAÍSO,PR,,[],OK
SSLX,PR0084,Fazenda Santa Lydia,DIAMANTE DO NORTE,PR,,[],OK
SWOS,GO0141,Fazenda Santa Márcia,CAIAPÔNIA,GO,,[],OK
SDWG,BA0080,Fazenda Santa Maria,SÃO DESIDÉRIO,BA,,[],OK
SWRY,MT0014,Fazenda Santa Maria,PORTO ESTRELA,MT,,[],OK
SSDV,MS0260,Fazenda Santa Maria,CORUMBÁ,MS,,[],OK
SDDJ,SP0087,Fazenda Santa Maria,MONÇÕES,SP,,"{'badge_info': 'INFOTEMP 0218/2019', 'titulo': '', 'texto2': 'Duração:'}",OK
SWWQ,GO0148,Fazenda Santa Maria,MUNDO NOVO,GO,,[],OK
SNMB,MS0217,Fazenda Santa Maria,CORUMBÁ,MS,,[],OK
SWFO,BA0176,Fazenda Santa Maria,FORMOSA DO RIO PRETO,BA,,[],OK
SWSA,PR0098,Fazenda Santa Maria,LONDRINA,PR,,[],OK
SNWZ,PA0160,Fazenda Santa Maria,SANTANA DO ARAGUAIA,PA,,[],OK
SNGP,MG0147,Fazenda Santa Maria ,TUPACIGUARA,MG,,[],OK
SWXL,MS0401,Fazenda Santa Maria ,INOCÊNCIA,MS,,[],OK
SWTK,MT0408,Fazenda Santa Maria do Guaporé,VILA BELA DA SANTÍSSIMA TRINDADE,MT,,[],OK
SJHK,MT0177,Fazenda Santa Maria do Porto da Capivara,BARÃO DE MELGAÇO,MT,,[],OK
SSCU,PA0123,Fazenda Santa Marina,SANTA MARIA DAS BARREIRAS,PA,,[],OK
SWTG,SP0282,Fazenda Santa Marina,SANTO ANTÔNIO DO ARACANGUÁ,SP,,[],OK
SIFD,MS0079,Fazenda Santa Marina II,CAMPO GRANDE,MS,Aeródromo FECHADO até 30/06/19: INFOTEMP 1522/2018,"{'badge_info': 'INFOTEMP 1522/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SDVJ,PA0037,Fazenda Santa Marta,SANTA MARIA DAS BARREIRAS,PA,,[],OK
SWRS,MT0390,Fazenda Santa Mônica,SANTO ANTÔNIO DO LEVERGER,MT,,[],OK
SNJV,MG0153,Fazenda Santa Mônica,SÃO JOÃO DA PONTE,MG,,[],OK
SIUS,BA0098,Fazenda Santana,FORMOSA DO RIO PRETO,BA,,[],OK
SDFZ,BA0046,Fazenda Santana,RIACHÃO DAS NEVES,BA,,[],OK
SDRC,SP0166,Fazenda Santana,RANCHARIA,SP,,[],OK
SSSA,MS0329,Fazenda Sant'Anna do APA,BELA VISTA,MS,,[],OK
SSWO,MT0321,Fazenda Santa Paula,COMODORO,MT,,[],OK
SNWL,MS0235,Fazenda Santarém,BANDEIRANTES,MS,,[],OK
SSXV,MS0351,Fazenda Santa Rita,NAVIRAÍ,MS,,[],OK
SWRT,GO0145,Fazenda Santa Rita,SANTA RITA DO ARAGUAIA,GO,,[],OK
SWGW,GO0126,Fazenda Santa Rita do Araguaia,JUSSARA,GO,,[],OK
SWOY,MS0390,Fazenda Santa Rita I,PEDRO GOMES,MS,,[],OK
SJSR,GO0085,Fazenda Santa Rosa,MARA ROSA,GO,,"{'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0021/2019', 'texto2': 'Duração:'}",OK
SNAC,PA0081,Fazenda Santa Rosa,XINGUARA,PA,,[],OK
SWQS,MS0070,Fazenda Santa Rosa,RIBAS DO RIO PARDO,MS,,[],OK
SSKQ,GO0107,Fazenda Santa Rosa,NOVA CRIXÁS,GO,,[],OK
SINR,MT0008,Fazenda Santa Rosa,CÁCERES,MT,,[],OK
SNKX,MS0215,Fazenda Santa Rosália,CORUMBÁ,MS,,[],OK
SWSV,MT0088,Fazenda Santa Silvia,COCALINHO,MT,,[],OK
SIKP,MS0096,Fazenda Santa Tereza,CORUMBÁ,MS,,[],OK
SJQS,MT0453,Fazenda Santa Tereza,UNIÃO DO SUL,MT,,[],OK
SJYW,MT0234,Fazenda Santa Terezinha,SANTA TEREZINHA,MT,,[],OK
SICS,MT0086,Fazenda Santa Terezinha,SANTA RITA DO TRIVELATO,MT,,[],OK
SSXZ,GO0111,Fazenda Santa Terezinha,NOVA ROMA,GO,,[],OK
SNWK,MT0076,Fazenda Santa Terezinha,PEDRA PRETA,MT,,[],OK
SIWT,MT0057,Fazenda Santa Terezinha I,SANTA TEREZINHA,MT,,[],OK
SWXK,GO0150,Fazenda Santa Thereza,APARECIDA DO RIO DOCE,GO,,[],OK
SDST,SP0144,Fazenda Santa Therezinha da Barra,DESCALVADO,SP,,"[{'badge_info': 'INFOTEMP 0153/2019', 'titulo': '', 'texto2': 'Duração:'}, {'badge_info': 'INFOTEMP 0139/2019', 'titulo': '', 'texto2': 'Duração:'}]",OK
SWSU,MS0092,Fazenda Santa Umbelina,NAVIRAÍ,MS,,[],OK
SIOT,MS0058,Fazenda Santa Vergínia,SANTA RITA DO PARDO,MS,,[],OK
SNZE,RS0089,Fazenda Santa Zélia,ITAQUI,RS,,[],OK
SWEA,MT0332,Fazenda Santiago de Compostela ,COMODORO,MT,,[],OK
SISO,PA0015,Fazenda Santo Ambrósio,CHAVES,PA,,[],OK
SNUK,MG0163,Fazenda Santo André,PRATINHA,MG,,[],OK
SIZG,MT0475,Fazenda Santo André II,NOVA MARINGÁ,MT,,[],OK
SJVD,MT0483,Fazenda Santo André IV,PARANATINGA,MT,,[],OK
SNGW,BA0137,Fazenda Santo Angelo,BARRA DO CHOÇA,BA,,[],OK
SDAN,SP0078,Fazenda Santo Ângelo,BROTAS,SP,,[],OK
SDAS,SP0079,Fazenda Santo Antônio,MIRANDÓPOLIS,SP,,[],OK
SNFA,MG0143,Fazenda Santo Antônio,UNAÍ,MG,,[],OK
SWOZ,MT0376,Fazenda Santo Antônio,CAMPO VERDE,MT,,"{'badge_info': 'Z0083/19', 'titulo': ' N 31/01/2019 19:58', 'texto2': '31/01/19 19:58 a PERM'}",OK
SNUX,MS0230,Fazenda Santo Antônio,RIBAS DO RIO PARDO,MS,,[],OK
SDQM,BA0076,Fazenda Santo Antônio,BARREIRAS,BA,,[],OK
SWSD,MT0395,Fazenda Santo Antônio,ARAGUAIANA,MT,,[],OK
SSTM,AM0008,Fazenda Santo Antônio,MANICORÉ,AM,,[],OK
SDQJ,BA0075,Fazenda Santo Antônio da Serra do Boqueirão,WANDERLEY,BA,,[],OK
SWVF,MT0415,Fazenda Santo Antônio do Guaporé,VILA BELA DA SANTÍSSIMA TRINDADE,MT,,[],OK
SWBX,MT0329,Fazenda Santo Antônio do Paraíso,ITIQUIRA,MT,,[],OK
SIFO,SP0032,Fazenda Santo Antônio Oriçanga,ESTIVA GERBI,SP,,[],OK
SWTZ,MS0063,Fazenda Santo Antônio - Zampieri,RIBAS DO RIO PARDO,MS,,[],OK
SILZ,TO0006,Fazenda Santo Expedito IV,RIO SONO,TO,,[],OK
SSSH,MS0039,Fazenda Santo Inácio,CORUMBÁ,MS,,[],OK
SIRX,MT0128,Fazenda Santo Reis,LAMBARI D'OESTE,MT,,[],OK
SSRM,PA0042,Fazenda Santos Reis,RIO MARIA,PA,,[],OK
SNSR,MG0036,Fazenda Santos Reis,GUARDA-MOR,MG,,[],OK
SNZG,SP0241,Fazenda São Benedito,CAPÃO BONITO,SP,,[],OK
SIEB,MS0072,Fazenda São Bento,SIDROLÂNDIA,MS,,[],OK
SWOC,MS0072,Fazenda São Bento do Bocajah,CARACOL,MS,,[],OK
SJSB,MS0184,Fazenda São Bento do Nabileque,CORUMBÁ,MS,,[],OK
SIQX,AL0004,Fazenda São Braz,BARRA DE SANTO ANTÔNIO,AL,,[],OK
SSEV,MS0263,Fazenda São Camilo,CORUMBÁ,MS,,[],OK
SJUQ,SP0846,Fazenda São Clemente,SÃO JOSÉ DOS CAMPOS,SP,,[],OK
SDYE,BA0082,Fazenda São Diego,FORMOSA DO RIO PRETO,BA,,[],OK
SNNO,MT0259,Fazenda São Domingos,COMODORO,MT,,[],OK
SDCJ,MT0032,Fazenda São Domingos,ALTO ARAGUAIA,MT,,[],OK
SNSV,MS0064,Fazenda São Domingos,RIBAS DO RIO PARDO,MS,,[],OK
SWFE,RO0029,Fazenda São Félix,MACHADINHO D'OESTE,RO,,[],OK
SWJF,MS0381,Fazenda São Francisco,CORUMBÁ,MS,,[],OK
SIGS,GO0011,Fazenda São Francisco,MUNDO NOVO,GO,,[],OK
SIUF,MT0067,Fazenda São Francisco,PEIXOTO DE AZEVEDO,MT,,[],OK
SNQP,SP0121,Fazenda São Francisco,MAGDA,SP,,[],OK
SWQC,GO0027,Fazenda São Francisco,RIO VERDE,GO,,[],OK
SJFW,GO0018,Fazenda São Francisco,SÃO FRANCISCO DE GOIÁS,GO,,[],OK
SWSF,MT0396,Fazenda São Francisco,VILA BELA DA SANTÍSSIMA TRINDADE,MT,,[],OK
SDLV,PR0038,Fazenda São Francisco,FLORESTÓPOLIS,PR,Aeródromo FECHADO até 26/12/19: INFOTEMP 1515/2018,"{'badge_info': 'INFOTEMP 1515/2018', 'titulo': '', 'texto2': 'Duração:'}",OK
SDDD,MS0027,Fazenda São Francisco,CORUMBÁ,MS,,[],OK
SNSF,SP0237,Fazenda São Francisco,FARTURA,SP,,[],OK
SDDQ,BA0071,Fazenda São Francisco,RIACHÃO DAS NEVES,BA,,[],OK
SJNV,GO0081,Fazenda São Francisco,GOUVELÂNDIA,GO,,[],OK
SWGU,MT0452,Fazenda São Gabriel,BRASNORTE,MT,,[],OK
SJGB,MG0121,Fazenda São Gabriel,CURVELO,MG,,[],OK
SJZG,TO0005,Fazenda São Geraldo,CASEARA,TO,,[],OK
SJOM,MT0199,Fazenda São Jerônimo,ALTO GARÇAS,MT,,[],OK
SING,SP0187,Fazenda São João,NOVA GRANADA,SP,,[],OK
SNAY,MT0240,Fazenda São João,PONTES E LACERDA,MT,,[],OK
SJHJ,PI0010,Fazenda São João,BAIXA GRANDE DO RIBEIRO,PI,,[],OK
SSVJ,MS0107,Fazenda São João,ALCINÓPOLIS,MS,,[],OK
SSZT,SP0267,Fazenda São João,ÁGUAS DE SANTA BÁRBARA,SP,,[],OK
SWJQ,MS0382,Fazenda São João,PARANHOS,MS,,[],OK
SSZG,MS0358,Fazenda São João,ÁGUA CLARA,MS,,[],OK
SSJY,MS0024,Fazenda São João,CORUMBÁ,MS,,[],OK
SDKQ,SP0118,Fazenda São João,GUARACI,SP,,[],OK
SWHS,GO0127,Fazenda São João,MAURILÂNDIA,GO,,[],OK
SJJM,MT0186,Fazenda São João,MATUPÁ,MT,,[],OK
SNWI,MT0273,Fazenda São João do Guaporé,NOVA LACERDA,MT,,[],OK
SDDC,MT0033,Fazenda São João do Guaporé,PONTES E LACERDA,MT,,[],OK
SSPU,MT0308,Fazenda São João do Ibiporã,PONTES E LACERDA,MT,,[],OK
SDJG,PI0015,Fazenda São João do Pirajá,CURRAIS,PI,,[],OK
SDNE,SP0126,Fazenda São Joaquim,MARABÁ PAULISTA,SP,,[],OK
SJVR,MS0186,Fazenda São Joaquim,JARDIM,MS,,[],OK
SIEX,MG0098,Fazenda São Joaquim I,SANTA VITÓRIA,MG,,[],OK
SDJQ,SP0115,Fazenda São Joaquim O.B.,PEREIRA BARRETO,SP,,[],OK
SJSJ,BA0122,Fazenda São Jorge,GUARATINGA,BA,,[],OK
SIEF,MS0106,Fazenda São José,CAMPO GRANDE,MS,,[],OK
SWDG,SP0273,Fazenda São José,REGINÓPOLIS,SP,,[],OK
SIDF,MT0036,Fazenda São José,CÁCERES,MT,,[],OK
SJDJ,MS0150,Fazenda São José,CAMAPUÃ,MS,,[],OK
SISZ,TO0021,Fazenda São José,COUTO MAGALHÃES,TO,,[],OK
SDJZ,RS0014,Fazenda São José,SÃO GABRIEL,RS,,[],OK
SIYF,GO0062,Fazenda São José,SERRANÓPOLIS,GO,,[],OK
SDGJ,MS0031,Fazenda São José,PORTO MURTINHO,MS,,[],OK
SNSY,MS0229,Fazenda São José,ANASTÁCIO,MS,,[],OK
SWJO,MT0066,Fazenda São José,POXORÉU,MT,,[],OK
SWSJ,MT0398,Fazenda São José,SAPEZAL,MT,,[],OK
SDTX,SP0148,Fazenda São José,ILHA SOLTEIRA,SP,,[],OK
SJJI,MT0480,Fazenda São José,MATUPÁ,MT,,[],OK
SNJG,GO0099,Fazenda São José da Lagoa,NOVA CRIXÁS,GO,Aeródromo FECHADO até 11/02/20: INFOTEMP 0013/2019,"{'badge_info': 'INFOTEMP 0013/2019', 'titulo': '', 'texto2': 'Duração:'}",OK
SJHQ,MT0179,Fazenda São José das Reunidas,SÃO JOSÉ DO XINGU,MT,,[],OK
SDYB,SP0164,Fazenda São José do Bom Retiro,ITAPETININGA,SP,,[],OK
SNFI,MG0144,Fazenda São José do Paranaíba,TUPACIGUARA,MG,,[],OK
SISJ,MS0104,Fazenda São José do Piquiri,CORUMBÁ,MS,,[],OK
SDOB,SP0129,Fazenda São José O.B.,TAPIRATIBA,SP,,[],OK
SJWV,GO0092,Fazenda São Judas,SÃO MIGUEL DO ARAGUAIA,GO,,[],OK
SWVJ,MT0416,Fazenda São Judas Tadeu,COMODORO,MT,,[],OK
SIFW,MS0084,Fazenda São Lourenço,CORUMBÁ,MS,,[],OK
SDKC,SP0116,Fazenda São Lucas,GÁLIA,SP,,[],OK
SWLS,ND,Fazenda São Luis,PALOTINA,PR,,[],OK
SDJN,SP0114,Fazenda São Luiz,JARDINÓPOLIS,SP,,[],OK
SWLZ,MG0201,Fazenda São Luiz,PARACATU,MG,,[],OK
SNLD,MG0154,Fazenda São Luiz do Matão,CARNEIRINHO,MG,,[],OK
SJSU,PR0061,Fazenda São Marcus,ALTO PARAÍSO,PR,,[],OK
SNDS,SP0226,Fazenda São Martinho,ILHA SOLTEIRA,SP,,[],OK
SSMZ,MT0298,Fazenda São Mateus,COMODORO,MT,,[],OK
SNWH,PR0069,Fazenda São Matheus,QUERÊNCIA DO NORTE,PR,,[],OK
SSMI,MT0297,Fazenda São Miguel,CAMPO VERDE,MT,,[],OK
SNEI,RS0083,Fazenda São Miguel,RIO PARDO,RS,,[],OK
SNTA,SP0239,Fazenda São Miguel,POMPÉIA,SP,,[],OK
SDTV,BA0014,Fazenda São Miguel ,SÃO DESIDÉRIO,BA,,[],OK
SSMC,MS0305,Fazenda São Miguel da Catequese,NOVA ANDRADINA,MS,,[],OK
SWQT,MT0383,Fazenda São Nicolau,COTRIGUAÇU,MT,,[],OK
SSLB,MS0097,Fazenda São Paulino,CORUMBÁ,MS,,[],OK
SSXW,MS0352,Fazenda São Paulo,IVINHEMA,MS,,[],OK
SSPW,MS0322,Fazenda São Paulo,COSTA RICA,MS,,[],OK
SDEB,SP0091,Fazenda São Paulo dos Palmares,TIMBURI,SP,,[],OK
SDVK,MS0021,Fazenda São Pedro,NOVA ANDRADINA,MS,,[],OK
SSGS,MS0279,Fazenda São Pedro,ELDORADO,MS,,[],OK
SICP,MG0093,Fazenda São Pedro,UNAÍ,MG,,[],OK
SJCP,GO0033,Fazenda São Roberto,PARAÚNA,GO,,[],OK
SJAS,SP0203,Fazenda São Roque,REGINÓPOLIS,SP,,[],OK
SJDT,MS0153,Fazenda São Roque,AQUIDAUANA,MS,,[],OK
SIRS,MG0014,Fazenda São Sebastião,CAMPO FLORIDO,MG,,[],OK
SISD,GO0054,Fazenda São Sebastião,APARECIDA DO RIO DOCE,GO,,[],OK
SWNL,MS0047,Fazenda São Sebastião,RIBAS DO RIO PARDO,MS,,[],OK
SIWU,ND,Fazenda São Sebastião,AQUIDAUANA,MS,,[],OK
SDWJ,MT0071,Fazenda São Sebastião,CAMPO NOVO DO PARECIS,MT,,[],OK
SDSB,SP0140,Fazenda São Sebastião,RIFAINA,SP,,"{'badge_info': 'F0689/19', 'titulo': ' N 15/04/2019 17:41', 'texto2': 'SFC'}",OK
SIJO,MS0091,Fazenda São Sebastião do Jatobazinho,CORUMBÁ,MS,,[],OK
SWSN,MT0401,Fazenda São Valentim,PONTES E LACERDA,MT,,[],OK
SJHS,MG0122,Fazenda São Vicente,UBERLÂNDIA,MG,,[],OK
SJJQ,MG0127,Fazendas Apóstolo Simão Coffee,RIO PARDO DE MINAS,MG,,[],OK
SIKQ,MT0102,Fazenda Sararé,CONQUISTA D'OESTE,MT,,[],OK
SSVM,BA0040,Fazenda Savannah,COCOS,BA,,[],OK
SIMG,MS0099,Fazenda Seis Palmas,PORTO MURTINHO,MS,,[],OK
SNVJ,MT0272,Fazenda Senhora Aparecida,TANGARÁ DA SERRA,MT,,[],OK
SSQO,MG0005,Fazenda Sequóia,SETUBINHA,MG,,[],OK
SSGM,MS0040,Fazenda Seriema,BELA VISTA,MS,,[],OK
SSDM,BA0052,Fazenda Serinhaém,ITUBERÁ,BA,,[],OK
SDKX,MT0038,Fazenda Serra Azul,ROSÁRIO OESTE,MT,,[],OK
SJCQ,BA0067,Fazenda Serra Azul,BAIXA GRANDE,BA,,[],OK
SIZA,MT0154,Fazenda Serra Azul,PLANALTO DA SERRA,MT,,[],OK
SSVU,MG0191,Fazenda Serra do Cabral,FRANCISCO DUMONT,MG,,[],OK
SDJX,TO0013,Fazenda Serra Dourada,PALMEIRÓPOLIS,TO,,[],OK
SITV,MS0052,Fazenda Serra Dourada,COXIM,MS,,[],OK
SNQE,PA0101,Fazenda Serra Grande,PARAUAPEBAS,PA,,"{'badge_info': 'G0284/19', 'titulo': ' N 09/03/2019 00:23', 'texto2': 'GND'}",OK
SIGW,PI0020,Fazenda Serra Grande,RIBEIRO GONÇALVES,PI,,[],OK
SJCC,BA0104,Fazenda Serrana,CORRENTINA,BA,,[],OK
SSSR,BA0163,Fazenda Serrana,SÃO DESIDÉRIO,BA,,[],OK
SIYS,TO0001,Fazenda Sertaneja,ANANÁS,TO,,[],OK
SSTZ,MS0335,Fazenda Sertãozinho,AQUIDAUANA,MS,,[],OK
SSYI,BA0171,Fazenda Sesmarias,ITAETÉ,BA,,[],OK
SIFA,MS0078,Fazenda Sete,AQUIDAUANA,MS,,[],OK
SWRC,MT0386,Fazenda Sevilha,RIBEIRÃO CASCALHEIRA,MT,,[],OK
SDSH,MT0060,Fazenda Shalon,ALTA FLORESTA,MT,,[],OK
SJJN,MT0187,Fazenda Shangri-lá,ALTA FLORESTA,MT,,[],OK
SDOE,MA0015,Fazenda Sibéria,GRAJAÚ,MA,,[],OK
SSSY,MS0332,Fazenda Silvana,NOVA ANDRADINA,MS,,[],OK
SWSG,MT0397,Fazenda Simarelli,CAMPOS DE JÚLIO,MT,,[],OK
SJKJ,MT0191,Fazenda Siriema,CAMPOS DE JÚLIO,MT,,[],OK
SIML,MT0068,Fazenda Siriema,SANTO ANTÔNIO DO LEVERGER,MT,,[],OK
SWTH,RR0030,Fazenda Smith,BONFIM,RR,Aeródromo FECHADO até 31/12/20: INFOTEMP {ts '2019-04-01 00:00:00'},"{'badge_info': 'INFOTEMP 0004/2019', 'titulo': '', 'texto2': 'Duração:'}",OK
SIHB,MA0019,Fazenda Soberana,GRAJAÚ,MA,,[],OK
SNYV,PA0118,Fazenda Sococo,MOJU,PA,,[],OK
SDBD,MT0031,Fazenda Sodema,VERA,MT,,[],OK
SDXW,MS0061,Fazenda Sombra da Serra,RIO VERDE DE MATO GROSSO,MS,,[],OK
SSUA,MS0336,Fazenda Sonora Estância,SONORA,MS,,[],OK
SJFO,GO0071,Fazenda Sorriso,MOSSÂMEDES,GO,,[],OK
SIYK,GO0063,Fazenda Sorriso Metálico,URUTAÍ,GO,,"{'badge_info': 'Revogado', 'titulo': 'NFOTEMP 0855/2018', 'texto2': 'Duração:'}",OK
SWQG,MS0391,Fazenda Sossego,MARACAJU,MS,,[],OK
SSHQ,SP0247,Fazenda Sossego,ROSANA,SP,,[],OK
SNDQ,BA0133,Fazenda Soya,SÃO DESIDÉRIO,BA,,[],OK
SIWB,MS0136,Fazenda Sperafico,AMAMBAI,MS,,[],OK
SIMR,GO0051,Fazendas Reunidas,RIO VERDE,GO,,[],OK
SSLW,MS0304,Fazendas Reunidas Schlatter,CHAPADÃO DO SUL,MS,,[],OK
SSZS,MT0324,Fazenda Sucupira,VILA RICA,MT,,[],OK
SSSU,MS0331,Fazenda Sucuri ,RIO VERDE DE MATO GROSSO,MS,,[],OK
SDUS,RO0010,Fazenda Sucuri,MACHADINHO D'OESTE,RO,,[],OK
SSVS,MS0015,Fazenda Sucuri,RIO BRILHANTE,MS,,[],OK
SDZX,MT0076,Fazenda Suri,CAMPINÁPOLIS,MT,,[],OK
SILL,SP0185,Fazenda Tabaroa,ÁGUAS DE SANTA BÁRBARA,SP,,[],OK
SDQK,ND,Fazenda Taboca,RIO VERDE DE MATO GROSSO,MS,,[],OK
SDTH,MT0062,Fazenda Tamanduá,BRASNORTE,MT,,[],OK
SDDI,SP0094,Fazenda Tamara,SALMOURÃO,SP,,[],OK
SWZE,MT0075,Fazenda Tamboril,PONTES E LACERDA,MT,,[],OK
SITR,GO0056,Fazenda Tamboril,BOM JESUS DE GOIÁS,GO,,[],OK
SNGV,MT0012,Fazenda Tanguru,QUERÊNCIA,MT,,[],OK
SWUE,MT0411,Fazenda Tapayuna,NOVA CANAÃ DO NORTE,MT,,[],OK
SDTE,SP0102,Fazenda Tapijara,ARANDU,SP,,[],OK
SJZE,MT0236,Fazenda Tapiraguaia,SANTA TEREZINHA,MT,,[],OK
SJJK,MT0185,Fazenda Taquaral,ALTA FLORESTA,MT,,[],OK
SWHZ,MT0349,Fazenda Taquaruçu Retiro,CARLINDA,MT,,[],OK
SWQQ,MS0408,Fazenda Taquarussu,SETE QUEDAS,MS,,[],OK
SWXZ,MT0092,Fazenda Taquarussu,COMODORO,MT,,[],OK
SWIL,MT0039,Fazenda Tarumã,PEDRA PRETA,MT,,[],OK
SIAJ,BA0084,Fazenda Tauá,PRADO,BA,,[],OK
SIEQ,MT0092,Fazenda Tauá,NOVA MUTUM,MT,,[],OK
SITF,MS0029,Fazenda Tereré,ANTÔNIO JOÃO,MS,,[],OK
SIYX,RJ0177,Fazenda Tereré,PORTO MURTINHO,MS,,[],OK
SJQQ,PA0075,Fazenda Terra Alta,PORTEL,PA,,[],OK
